Variable_Name,Variable Desc,Who,Sales Channel,Product,Activity,Metric,Category
UM_Digitaldir_1P_TP50_EuroValue,Independent,UM,Digitaldir,1P,TP50,EuroValue,Promo
UM_Digitaldir_1P_TP134_EuroValue,Independent,UM,Digitaldir,1P,TP134,EuroValue,Promo
UM_Digitalind_1P_TP134_EuroValue,Independent,UM,Digitalind,1P,TP134,EuroValue,Promo
UM_D2DTeleout_2P_TP_EuroValue,Independent,UM,D2DTeleout,2P,TP,EuroValue,Promo
UM_TeleinSiS_2P_TP_EuroValue,Independent,UM,TeleinSiS,2P,TP,EuroValue,Promo
UM_Retaildir_2P_TP21nTP100_EuroValue,Independent,UM,Retaildir,2P,TP21nTP100,EuroValue,Promo
UM_Retailind_2P_TP100_EuroValue,Independent,UM,Retailind,2P,TP100,EuroValue,Promo
UM_Digitaldir_2P_TP100_EuroValue,Independent,UM,Digitaldir,2P,TP100,EuroValue,Promo
UM_Digitaldir_2P_TP134_EuroValue,Independent,UM,Digitaldir,2P,TP134,EuroValue,Promo
UM_Digitalind_2P_TP134_EuroValue,Independent,UM,Digitalind,2P,TP134,EuroValue,Promo
UM_D2DTeleout_3P_TP_EuroValue,Independent,UM,D2DTeleout,3P,TP,EuroValue,Missing
UM_TeleinSiS_3P_TP_EuroValue,Independent,UM,TeleinSiS,3P,TP,EuroValue,Missing
UM_Retaildir_3P_TP_EuroValue,Independent,UM,Retaildir,3P,TP,EuroValue,Missing
UM_Retailind_3P_TP_EuroValue,Independent,UM,Retailind,3P,TP,EuroValue,Missing
UM_Digitaldir_3P_TP134_EuroValue,Independent,UM,Digitaldir,3P,TP134,EuroValue,Promo
UM_Digitalind_3P_TP134_EuroValue,Independent,UM,Digitalind,3P,TP134,EuroValue,Promo
UM_AllChan_2P_LosWochos_Stepchange,Independent,UM,AllChan,2P,LosWochos,Stepchange,Promo
UM_AllChan_3P_LosWochos_Stepchange,Independent,UM,AllChan,3P,LosWochos,Stepchange,Promo
UM_AllChan_2P_LosWochos_EuroSize,Independent,UM,AllChan,2P,LosWochos,EuroSize,Promo
UM_AllChan_3P_LosWochos_EuroSize,Independent,UM,AllChan,3P,LosWochos,EuroSize,Promo
UM_AllChan_2P_ScarcityIndicator_StepChange,Independent,UM,AllChan,2P,Scarcity Indicator,StepChange,Promo
UM_AllChan_3P_ScarcityIndicator_StepChange,Independent,UM,AllChan,3P,Scarcity Indicator,StepChange,Promo
UM_AllChan_3p_Whitemail_Number,Independent,UM,AllChan,3p,Whitemail,Number,DM
UM_AllChan_2p_Whitemail_Number,Independent,UM,AllChan,2p,Whitemail,Number,DM
UM_AllChan_2p3p_Whitemail_Number,Independent,UM,AllChan,2p3p,Whitemail,Number,DM
UM_AllChan_1p2p_Whitemail_Number,Independent,UM,AllChan,1p2p,Whitemail,Number,DM
UM_AllChan_3p_Whitemail_Cost,Independent,UM,AllChan,3p,Whitemail,Cost,DM
UM_AllChan_2p_Whitemail_Cost,Independent,UM,AllChan,2p,Whitemail,Cost,DM
UM_AllChan_2p3p_Whitemail_Cost,Independent,UM,AllChan,2p3p,Whitemail,Cost,DM
UM_AllChan_1p2p_Whitemail_Cost,Independent,UM,AllChan,1p2p,Whitemail,Cost,DM
UM_AllChan_3p_Email_Number,Independent,UM,AllChan,3p,Email,Number,DM
UM_AllChan_1p2p_Email_Number,Independent,UM,AllChan,1p2p,Email,Number,DM
UM_AllChan_2p_Email_Number,Independent,UM,AllChan,2p,Email,Number,DM
UM_AllChan_3p_Email_Cost,Independent,UM,AllChan,3p,Email,Cost,DM
UM_AllChan_1p2p_Email_Cost,Independent,UM,AllChan,1p2p,Email,Cost,DM
UM_AllChan_2p_Email_Cost,Independent,UM,AllChan,2p,Email,Cost,DM
UM_AllChan_2p_Outbound_ReachedContacts,Independent,UM,AllChan,2p,Outbound,ReachedContacts,DM
UM_AllChan_2p3p_Outbound_ReachedContacts,Independent,UM,AllChan,2p3p,Outbound,ReachedContacts,DM
